GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ims,com.qa.ims.exceptions,CustomerNotFoundException,3,0,0,0,1,0,1,0,1,0
ims,com.qa.ims.controller,Action,119,0,4,0,19,0,7,0,5,0
ims,com.qa.ims.controller,CustomerController,0,109,0,2,0,29,0,7,0,6
ims,com.qa.ims.controller,ItemsController,117,0,2,0,31,0,7,0,6,0
ims,com.qa.ims.controller,OrderController,101,0,2,0,27,0,7,0,6,0
ims,com.qa.ims,IMS,149,0,17,0,48,0,18,0,6,0
ims,com.qa.ims,Runner,16,0,0,0,6,0,3,0,3,0
ims,com.qa.ims.persistence.dao,OrdersDAO,226,0,2,0,68,0,10,0,9,0
ims,com.qa.ims.persistence.dao,OrderItemsDAO,237,0,2,0,70,0,10,0,9,0
ims,com.qa.ims.persistence.dao,ItemsDAO,236,0,2,0,70,0,10,0,9,0
ims,com.qa.ims.persistence.dao,CustomerDAO,230,3,2,0,66,1,9,1,8,1
ims,com.qa.ims.utils,DBUtils,178,0,4,0,42,0,14,0,12,0
ims,com.qa.ims.utils,Utils,59,3,4,0,25,1,7,1,5,1
ims,com.qa.ims.persistence.domain,Order,74,0,10,0,20,0,13,0,8,0
ims,com.qa.ims.persistence.domain,Domain,105,0,2,0,17,0,6,0,5,0
ims,com.qa.ims.persistence.domain,Item,115,0,12,0,24,0,16,0,10,0
ims,com.qa.ims.persistence.domain,Customer,3,173,0,30,1,47,1,25,1,10
ims,com.qa.ims.persistence.domain,OrderItems,116,0,12,0,25,0,17,0,11,0
